asset_id,asset_type,material_type,age_years,crack_index,corrosion_level,vibration_rms,avg_daily_traffic,heavy_vehicle_pct,avg_temperature_f,humidity_pct,flood_risk_score,inspections_per_year,years_since_last_repair,strain_peak_microstrain,displacement_mm,failure_probability,failure_within_5yrs
A200000,Pipeline,Asphalt,37.2,0.577,0.449,2.778,15495.0,0.303,54.7,57.7,0.585,0.78,13.8,283.7,1.03,0.5,0
A200001,Building,Composite,39.0,0.509,0.573,3.362,23230.0,0.25,52.2,42.1,0.688,0.68,0.0,211.5,6.85,0.32,0
A200002,Building,Steel,50.7,0.501,0.239,2.413,31376.0,0.001,85.9,14.6,0.483,0.1,0.0,,8.01,0.294,0
A200003,Bridge,Asphalt,37.0,0.371,0.367,2.825,41336.0,0.0,64.4,79.8,0.312,,13.2,311.2,8.09,0.309,1
A200004,Road,Concrete,33.3,0.623,1.0,3.028,16300.0,0.062,65.6,46.0,0.435,1.98,0.0,204.4,14.64,0.542,0
A200005,Building,Concrete,42.8,0.523,0.602,2.652,22333.0,0.38,41.5,70.1,0.747,,8.6,152.2,6.41,0.447,0
A200006,Bridge,Asphalt,15.3,0.27,0.426,1.154,40446.0,0.206,92.7,77.9,0.016,2.69,13.0,271.1,6.48,0.086,0
A200007,Building,Steel,47.3,0.478,0.284,3.632,34437.0,0.24,52.8,91.9,0.472,2.77,14.5,252.5,7.47,0.415,0
A200008,Building,Composite,42.5,0.0,,,34714.0,0.235,71.4,56.2,0.581,1.46,7.8,213.7,5.44,0.285,0
A200009,Road,Concrete,40.7,0.554,0.125,2.068,32332.0,0.138,64.6,47.7,0.284,1.87,5.0,255.7,3.24,0.357,0
A200010,Road,Composite,47.8,0.465,0.133,1.558,37261.0,0.223,54.7,55.6,0.336,3.11,10.6,179.3,8.26,0.438,0
A200011,Road,Steel,1.0,0.226,0.868,1.371,29398.0,0.21,51.4,,0.0,2.48,2.1,207.5,6.34,0.296,0
A200012,Road,Steel,2.9,0.365,0.623,3.379,11042.0,0.177,86.8,96.4,0.261,0.94,4.5,340.4,9.53,0.419,0
A200013,Road,Concrete,3.4,0.842,0.373,4.313,24397.0,0.0,55.2,60.6,0.452,0.35,6.5,19.0,5.28,0.431,0
A200014,Pipeline,Concrete,61.9,0.76,0.731,0.815,23483.0,0.315,56.8,64.5,0.363,0.84,15.2,132.5,0.76,0.609,0
A200015,Pipeline,Concrete,20.4,0.221,0.558,3.175,0.0,0.378,61.2,61.3,0.615,1.99,10.2,379.4,15.2,0.344,0
A200016,Power_System,Concrete,36.2,0.49,0.345,3.423,,0.169,21.4,81.5,0.78,1.3,0.0,218.2,3.92,0.45,0
A200017,Building,Asphalt,68.5,0.269,0.598,5.258,12956.0,0.193,64.5,33.2,0.027,0.1,10.2,294.2,9.61,0.246,0
A200018,Pipeline,Steel,3.5,1.0,0.0,3.657,13884.0,0.185,94.3,86.6,0.392,2.18,2.9,138.6,7.89,0.389,0
A200019,Power_System,Concrete,15.9,,0.795,0.342,21810.0,0.157,40.4,100.0,0.252,1.63,10.6,231.8,3.19,0.467,0
A200020,Bridge,Concrete,35.6,0.238,0.078,4.061,23286.0,0.19,49.3,39.9,0.601,4.27,12.4,179.3,4.37,0.349,0
A200021,Bridge,Asphalt,46.4,,0.0,1.84,12932.0,0.212,44.1,20.5,0.363,1.83,1.5,224.1,4.68,0.409,0
A200022,Pipeline,Asphalt,58.8,0.828,0.53,0.218,23425.0,0.132,55.3,85.7,0.163,1.77,15.9,201.4,7.65,0.536,0
A200023,Bridge,Composite,18.5,0.0,0.767,5.008,30845.0,0.18,84.4,53.5,0.259,1.69,0.0,254.2,7.34,0.238,0
A200024,Bridge,Concrete,47.6,0.29,0.217,,,0.235,59.2,47.9,0.705,2.26,11.2,287.5,9.78,0.316,0
A200025,Pipeline,Concrete,15.7,0.783,,2.923,15493.0,0.095,70.9,90.7,0.0,0.62,0.0,326.3,8.82,0.448,0
A200026,Road,Steel,32.7,0.536,0.273,4.411,29752.0,0.262,65.2,73.7,0.476,1.5,9.2,306.9,4.72,0.452,0
A200027,Power_System,Concrete,29.4,0.942,1.0,5.677,0.0,0.19,45.5,58.5,0.378,0.1,5.9,61.0,4.3,0.707,1
A200028,Pipeline,Composite,28.4,0.315,0.583,1.597,0.0,0.218,71.7,76.6,0.377,1.53,8.3,258.4,1.31,0.343,0
A200029,Pipeline,Composite,54.7,0.044,0.434,2.861,21246.0,0.123,59.6,57.1,0.0,1.5,10.5,51.4,11.69,0.14,0
A200030,Road,Concrete,46.8,0.692,0.289,1.7,19849.0,0.06,97.9,57.1,0.507,0.78,4.7,,0.05,0.512,0
A200031,Bridge,Steel,8.5,0.412,0.269,4.206,11037.0,0.175,62.5,63.4,0.475,,9.2,142.1,4.62,0.26,0
A200032,Bridge,Concrete,45.6,0.539,0.217,4.262,4221.0,0.075,65.7,64.3,0.713,2.47,12.3,160.2,7.16,0.419,0
A200033,Bridge,Steel,56.7,0.395,0.357,3.312,7171.0,0.144,57.6,86.5,0.301,1.43,8.2,361.6,8.08,0.357,0
A200034,Pipeline,Concrete,27.9,0.88,0.297,,6882.0,0.321,65.6,48.6,0.309,,22.8,121.3,1.5,0.341,0
A200035,Bridge,Composite,32.7,0.399,0.0,2.743,11521.0,0.231,91.2,80.2,0.631,2.29,11.6,282.1,5.65,0.38,0
A200036,Road,Steel,56.0,0.326,0.831,3.195,18959.0,0.172,76.6,79.9,0.818,4.21,0.0,225.5,15.22,0.515,0
A200037,Bridge,Composite,24.7,0.072,0.484,2.052,9281.0,0.149,68.3,71.5,1.0,0.1,13.0,268.5,7.35,0.252,0
A200038,Building,Concrete,62.8,0.484,0.562,4.005,18132.0,0.323,93.2,,0.0,1.11,19.2,202.5,0.395,0.496,0
A200039,Bridge,Concrete,22.4,0.541,0.399,1.495,39047.0,0.217,59.5,84.0,0.572,1.25,4.6,22.9,4.24,0.352,0
A200040,Road,Concrete,33.4,0.402,0.765,,19596.0,0.322,88.7,83.8,0.735,2.0,2.6,15.0,5.99,0.38,0
A200041,Building,Asphalt,26.8,0.742,0.145,2.987,0.0,0.174,63.8,52.0,0.276,1.88,0.1,108.1,6.24,0.354,0
A200042,Pipeline,Asphalt,39.4,0.572,0.267,3.803,2649.0,0.129,59.6,100.0,0.138,0.35,0.0,280.0,9.11,0.303,0
A200043,Building,Concrete,38.8,0.361,0.0,,0.0,0.305,79.6,57.3,0.429,2.57,5.0,330.7,3.58,0.328,0
A200044,Pipeline,Concrete,11.9,0.345,1.0,,39539.0,0.128,49.6,86.5,0.482,1.65,0.0,292.2,7.21,0.394,0
A200045,Building,Composite,37.8,0.75,0.1,3.77,2001.0,0.355,57.7,58.4,0.0,2.81,10.4,87.5,10.45,0.435,0
A200046,Bridge,Composite,39.4,0.636,0.105,0.05,,0.378,72.6,87.8,0.354,2.74,7.8,186.6,2.34,0.341,0
A200047,Pipeline,Concrete,27.4,0.703,0.148,5.812,14753.0,0.255,63.5,47.4,1.0,0.56,6.2,152.1,6.55,0.327,0
A200048,Pipeline,Asphalt,21.6,0.781,0.494,4.172,5787.0,0.212,56.3,76.5,0.507,2.41,11.6,255.7,8.31,0.441,1
A200049,Building,Steel,41.5,0.833,0.17,3.881,15744.0,0.28,71.3,54.4,0.264,1.35,8.6,305.4,0.05,0.313,0
